Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,KNN_Quality,Verification_Agreement_%,Total_Confinement_eV,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV.1,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Synthesizability_Index,Synthesis_Regime,Core_Ehull_eV_atom,Shell_Ehull_eV_atom,Max_Pair_Ehull_eV_atom,Thermodynamically_Stable,Design_Thickness_nm,Design_Trap_Depth_eV,Calculated_Eps_r,Effective_Barrier_eV,Retention_Time_Years,J_OFF_2V_A_m2,J_ON_2V_A_m2,I_OFF_2V_A,I_ON_2V_A,Simulated_ON_OFF_Ratio_2V
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,2.0,0.2,9.464,1.719,7.256850170752504e-18,10000000.0,10000000.0,1e-07,1e-07,1.0
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,2.0,0.3,9.464,1.719,3.472755583540211e-16,10000000.0,10000000.0,1e-07,1e-07,1.0
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,2.0,0.4,9.464,1.719,1.6618823675891287e-14,10000000.0,10000000.0,1e-07,1e-07,1.0
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,3.0,0.2,9.464,1.719,7.256850170752504e-18,1282569.083940937,1949235.7506076037,1.282569083940937e-08,1.949235750607604e-08,1.519790064343518
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,3.0,0.3,9.464,1.719,3.472755583540211e-16,1282569.083940937,1949235.7506076037,1.282569083940937e-08,1.949235750607604e-08,1.519790064343518
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,3.0,0.4,9.464,1.719,1.6618823675891287e-14,1282569.083940937,1949235.7506076037,1.282569083940937e-08,1.949235750607604e-08,1.519790064343518
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,4.0,0.2,9.464,1.719,7.256850170752504e-18,10656.372111850398,510656.37211185036,1.0656372111850398e-10,5.106563721118504e-09,47.92028344655645
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,4.0,0.3,9.464,1.719,3.472755583540211e-16,10656.372111850398,510656.37211185036,1.0656372111850398e-10,5.106563721118504e-09,47.92028344655645
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,4.0,0.4,9.464,1.719,1.6618823675891287e-14,10656.372111850398,510656.37211185036,1.0656372111850398e-10,5.106563721118504e-09,47.92028344655645
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,5.0,0.2,9.464,1.719,7.256850170752504e-18,100.75387748639821,400100.7538774864,1.0075387748639822e-12,4.001007538774864e-09,3971.0705320646352
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,5.0,0.3,9.464,1.719,3.472755583540211e-16,100.75387748639821,400100.7538774864,1.0075387748639822e-12,4.001007538774864e-09,3971.0705320646352
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.0037727745656497,0.0,0.0037727745656497,True,5.0,0.4,9.464,1.719,1.6618823675891287e-14,100.75387748639821,400100.7538774864,1.0075387748639822e-12,4.001007538774864e-09,3971.0705320646352
