Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,KNN_Quality,MLP_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba3Zr6BeCl18,Ba2YC2(O2F)3,0.7156851344600506,0.7542212,0.5254719907469436,0.8194342491465375,0.7822643926744421,84.05424843726821,1.2822169977268187,5.263999999999999,3.9818,16.447548766982095,-0.9081494096428576,-0.1006077653322617
Ba2InCuO4,Ba(PO3)2,0.7147278774978563,0.7579012,0.5296369028000143,0.8008624126717422,0.7844038204271708,84.69214593178185,1.3662169977268188,5.4349,4.0687,17.40684437120676,-0.7557097571428559,-0.0567011576179123
Ba2InCuO4,Ba2YC2(O2F)3,0.7080690512886978,0.76111335,0.5195489415707645,0.7959773746029245,0.7629833649379913,84.39596109393499,1.3662169977268188,5.263999999999999,3.8978,16.447548766982095,-0.9698248188095252,-0.1847708964030992
Ba2MnSe3,Ba2HoCl7,0.7072869586325925,0.74684435,0.5321814679722798,0.802984479599833,0.761245908540864,85.20368156716917,1.322916997726819,5.4559,4.133,17.526026148831015,-1.0944490683396175,-0.1297846600532301
Ba2MnSe3,Ba2DyCl7,0.7071704377160934,0.7468735,0.5292244445287652,0.7949203330428002,0.7723727678485128,85.05601176546631,1.322916997726819,5.4194,4.096500000000001,17.31921624773407,-1.097789788006283,-0.1398510923959477
Ba3Zr6BeCl18,Ba3Tm(BO2)9,0.7038401394951302,0.7371623,0.5144694184686757,0.8199874981584648,0.7660923705215026,83.58992251385489,1.2822169977268187,5.2676,3.9854,16.467591779378182,-0.8515050471774201,-0.2241180308124654
Ba(GdSe2)2,Ba2DyCl7,0.702973363101231,0.7453305,0.5271514075889493,0.7878420470775072,0.7637570673225886,85.21793224902262,1.481060739031996,5.4194,3.9384,17.31921624773407,-0.6162207365416692,-0.0547938249035141
Ba2Zr6BCl17,Ba3Tm(BO2)9,0.7009376816027277,0.74076664,0.5266601342438827,0.7824401594056798,0.7675815125715231,85.28064306358216,1.3409169977268192,5.2676,3.9267,16.467591779378182,-0.8135960599017791,0.0226908090763235
Ba2Zr6BCl17,Ba2DyCl7,0.6986335016185412,0.7470967,0.5229459744979035,0.7810494057947611,0.7510163937008645,85.24476845960083,1.3409169977268192,5.4194,4.0785,17.31921624773407,-0.5455858848910249,-0.1808753218094888
Ba3Zr6BeCl18,Ba(PO3)2,0.6983627636966486,0.7435467,0.5315549097012091,0.770680952326465,0.7554824316688923,86.01948523137354,1.2822169977268187,5.4349,4.152699999999999,17.40684437120676,-0.6940343479761886,0.0214077588075228
Ba(GdSe2)2,Ba2HoCl7,0.695237944256404,0.737251,0.5246392476568968,0.7805939195099614,0.7496075654030703,85.48176356332326,1.481060739031996,5.4559,3.9749,17.526026148831015,-0.6128800168750037,-0.0451080530327807
Ba2InCuO4,Al2Pb3F12,0.6949376273625514,0.73567015,0.524997792000104,0.7834467884720734,0.7475713321183242,85.47478297169123,1.3662169977268188,5.2252,3.859,16.232185176768496,-1.020414262843138,0.0072039388442601
Ba2Zr6BCl17,Ba2HoCl7,0.6941124222483045,0.7377169,0.5243512023409931,0.7711146546700958,0.7530038853067909,85.62658856572473,1.3409169977268192,5.4559,4.115,17.526026148831015,-0.5422451652243594,-0.1704009720534629
Ba2InCuO4,Ba3B6O11F2,0.6925781945341842,0.7295283,0.5256632311234519,0.7741124482476671,0.7550249168658327,85.68348848235121,1.3662169977268188,5.252710526336427,3.8865,16.384847293223228,-0.9821029337121212,0.0545220635533256
Ba2Na2U(S2O)2,Ba2DyCl7,0.6894025481889958,0.73329294,0.5243532094320887,0.764374814537498,0.7439337445772396,85.95204455523016,1.5081917121269697,5.4194,3.9112,16.662390744610835,-0.506995864643156,-0.0958273675598281
Ba3Zr6BeCl18,Al2Pb3F12,0.686806567920497,0.7190202,0.5194369281740161,0.7803145981527722,0.7461367375851895,85.3111652695898,1.2822169977268187,5.2252,3.943,16.232185176768496,-0.9587388536764708,0.0881055034237889
Ba2Zr6BCl17,Ba3Tb(BO2)9,0.6859850263343982,0.72374266,0.5194156699247712,0.7767142129392063,0.7373916546700975,85.4926790305397,1.3409169977268192,5.1728,3.8319,15.94269133886722,-0.806289501245864,-0.0233565594091704
Ba3In2O6,Ba3Tm(BO2)9,0.6822061487832823,0.723004,0.5239560381726575,0.7499760501520826,0.7408526451253505,86.38813315882831,1.107916997726819,5.2676,4.1597,16.467591779378182,-0.636532382328935,-0.1350818568646777
Ba3ThSe7,Ba2DyCl7,0.681660774288042,0.71524596,0.5310318563773236,0.7466486814122623,0.7461849656084623,86.90480814848218,1.178416997726819,5.4194,4.241,17.31921624773407,-0.9321688988570018,0.0093845791087007
Ba2Zr6BCl17,Ba2P2O7,0.6816170069385237,0.71349967,0.519799698287374,0.7767274050514583,0.7329836074775522,85.63465575706228,1.3409169977268192,5.1483,3.8074,15.807777426493834,-0.8982767017503321,0.011608972001891
Ba2Na2U(S2O)2,Ba2HoCl7,0.6815775723329408,0.71348375,0.5224279730240957,0.7697772991048738,0.736479062146753,85.95606579508033,1.5081917121269697,5.4559,3.9477,16.861357449145313,-0.5036551449764906,-0.0856954682473338
Ba4P2O,Ba2DyCl7,0.6807900931934228,0.7293712,0.5279410455177221,0.7480777838288878,0.719546882023605,86.92148852277437,1.2965169977268192,5.4194,4.1229000000000005,17.31921624773407,-1.3626146179829928,-0.0968007955565257
Ba2SnSe5,Ba2DyCl7,0.6800247459327478,0.7345314,0.5318142684187479,0.7327732645775743,0.7171527346385655,87.44078093365688,1.3426169977268192,5.4194,4.0768,17.31921624773407,-1.3586203035143225,0.0042189952904239
Ba2FeMoO6,Ba3B6O11F2,0.6797786624929324,0.7165931,0.5143549993394587,0.7534102275382714,0.7485014190917582,85.58129223532028,1.1591169977268192,5.252710526336427,4.0936,16.384847293223228,-0.7062416465454535,-0.2223470783662302
Ba4P2O,Ba2HoCl7,0.6793524627129195,0.72668296,0.5305455765966302,0.7470646199198785,0.7148205262703607,87.21231412813084,1.2965169977268192,5.4559,4.1594,17.526026148831015,-1.3592738983163273,-0.0871760350050488
Ba2InCuO4,Ba3Tm(BO2)9,0.6790613630785369,0.74372894,0.4972510014719883,0.7328040241985903,0.7394133571431869,84.57897797529455,1.3662169977268188,5.2676,3.9014,16.467591779378182,-0.9131804563440876,-0.3108627672117701
