Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,KNN_Quality,Verification_Agreement_%,Total_Confinement_eV,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV.1,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Synthesizability_Index,Synthesis_Regime,Core_Ehull_eV_atom,Shell_Ehull_eV_atom,Max_Pair_Ehull_eV_atom,Thermodynamically_Stable,Design_Thickness_nm,Design_Trap_Depth_eV,Simulated_ON_OFF_Ratio_2V,Retention_Time_Years,J_OFF_2V_A_m2,J_ON_2V_A_m2,Calculated_Eps_r,Log_ON_OFF,KMeans_Cluster,Agglo_Cluster,Pred_RF_500,Pred_KNN,Pred_GBR,Ensemble_Log_ON_OFF,KNN_RF_Disagreement_MAE
Ba2SiSe4,AlH2PbO2F3,0.4938326149945874,0.47926605,0.5278212725339398,89.86883687844073,2.218300000000001,2.495798660140437,4.496700000000001,2.218300000000001,1.6368552784766504,-0.8262126190972243,6.552922870538407,4.662285468602206,4.461056845128027,4.316094002165607,0.3703531550706432,Coherent Epitaxy (Ideal),0.0,0.0,0.0,True,6.0,0.2,706003762336.9344,5.80643984291265e+16,1.5262750269079246e-05,10775559.11428501,35.51533366730544,11.848807015439645,3,0,11.131973051585462,11.848807015439645,11.786126683609982,11.471585933963654,0.7168339638541834
Al2BiSe4,Ba3Ge2(B3O8)2,0.491808258738156,0.47996435,0.519444026039825,91.77445560269996,1.9355,2.4450266823483884,4.1759,1.9355,1.517128058333333,-2.019924101064814,6.050979777851442,4.671507826744165,4.480642671718235,4.085729107275286,0.3745431370490321,Coherent Epitaxy (Ideal),0.0,0.035,0.035,True,6.0,0.2,63086030558.17566,1031416779941.7812,9.564371470041828e-05,6033782.308351108,40.62322357374059,10.799933201983341,3,0,10.37967877053193,10.799931773070995,10.807950446492823,10.59221087382801,0.4202530025390647
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.0037727745656497,0.035,0.035,True,6.0,0.2,14123638560.903318,2830493201552.2554,0.0002994170172303,4228857.730359303,44.31841177920495,10.149946594970517,1,2,9.683422865181766,10.149946594970517,10.133739713144282,9.91182266552827,0.4665237297887508
