Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,0.8,3.0,3.0,6633019.517487683,6684418.798949778,6.633019517487684e-08,6.684418798949778e-08
Candidate_0,4.0,1.0,-3.0,-3.0,-6633019.517487683,-6633041.961728727,-6.633019517487684e-08,-6.633041961728727e-08
Candidate_0,4.0,1.0,-2.95,-2.95,-5301285.046447834,-5301302.467792301,-5.301285046447834e-08,-5.301302467792301e-08
Candidate_0,4.0,1.0,-2.9,-2.9,-4206768.248360312,-4206781.739832369,-4.206768248360312e-08,-4.206781739832369e-08
Candidate_0,4.0,1.0,-2.85,-2.85,-3313253.5597652113,-3313263.98320071,-3.313253559765211e-08,-3.3132639832007096e-08
Candidate_0,4.0,1.0,-2.8,-2.8,-2588983.4967088713,-2588991.530268483,-2.5889834967088713e-08,-2.588991530268483e-08
Candidate_0,4.0,1.0,-2.75,-2.75,-2006272.8383731667,-2006279.0145704078,-2.006272838373167e-08,-2.0062790145704078e-08
Candidate_0,4.0,1.0,-2.7,-2.7,-1541135.788055242,-1541140.524138219,-1.541135788055242e-08,-1.541140524138219e-08
Candidate_0,4.0,1.0,-2.65,-2.65,-1172927.735778745,-1172931.3579583212,-1.172927735778745e-08,-1.1729313579583212e-08
Candidate_0,4.0,1.0,-2.6,-2.6,-884003.1157247487,-884005.8784589835,-8.840031157247488e-09,-8.840058784589834e-09
Candidate_0,4.0,1.0,-2.55,-2.55,-659390.6966466082,-659392.7979604615,-6.593906966466082e-09,-6.593927979604615e-09
