Material_Pair,Shell_Eg_bulk_eV,Total_Confinement_eV,Barrier_Height_eV,Effective_Mass_Ratio,Calculated_Eps_r,Design_Thickness_nm,Design_Trap_Depth_eV,Retention_Time_Years,Volatile_Selector_Candidate,Quasi_NonVolatile_Candidate,NonVolatile_Memory_Candidate,Read_Voltage_V,J_OFF_Read_A_m2,J_ON_Read_A_m2,I_OFF_Read_A,I_ON_Read_A,Simulated_ON_OFF_Ratio
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.0,0.8,8.715745234967825e-08,False,False,False,1.0,8.11359024620748,8.224681979823208,8.11359024620748e-14,8.224681979823208e-14,1.013692056197644
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.0,1.0,0.00019959821390235478,False,False,False,1.0,8.11359024620748,8.113638756022722,8.11359024620748e-14,8.113638756022721e-14,1.0000059788347415
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.0,1.2,0.45709742447694557,False,False,False,1.0,8.11359024620748,8.113590267389993,8.11359024620748e-14,8.113590267389993e-14,1.0000000026107447
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.0,1.4,1046.7932121159727,False,False,False,1.0,8.11359024620748,8.113590246216729,8.11359024620748e-14,8.113590246216729e-14,1.00000000000114
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.0,1.6,1974.0982883137592,False,False,False,1.0,8.11359024620748,8.113590246207483,8.11359024620748e-14,8.113590246207483e-14,1.0000000000000004
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.5,0.8,8.715745234967825e-08,False,False,False,1.0,0.2895441426571117,0.3283778011950036,2.895441426571117e-15,3.283778011950036e-15,1.1341199935233366
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.5,1.0,0.00019959821390235478,False,False,False,1.0,0.2895441426571117,0.2895610999368258,2.895441426571117e-15,2.8956109993682584e-15,1.0000585654386185
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.5,1.2,0.45709742447694557,False,False,False,1.0,0.2895441426571117,0.2895441500617536,2.895441426571117e-15,2.895441500617536e-15,1.0000000255734474
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.5,1.4,1046.7932121159727,False,False,False,1.0,0.2895441426571117,0.28954414266034506,2.895441426571117e-15,2.8954414266034506e-15,1.000000000011167
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,4.5,1.6,1974.0982883137592,False,False,False,1.0,0.2895441426571117,0.2895441426571131,2.895441426571117e-15,2.895441426571131e-15,1.0000000000000049
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,5.0,0.8,8.715745234967825e-08,False,False,False,1.0,0.01059122984734619,0.026460661511661265,1.059122984734619e-16,2.6460661511661267e-16,2.4983558937956034
Candidate_0,3.4372,1.4163999999999994,1.7186,0.3,8.091,5.0,1.0,0.00019959821390235478,False,False,False,1.0,0.01059122984734619,0.010598159464636131,1.059122984734619e-16,1.059815946463613e-16,1.0006542788127364
