Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,KNN_Quality,Verification_Agreement_%,Total_Confinement_eV,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV.1,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Synthesizability_Index,Synthesis_Regime,Core_Ehull_eV_atom,Shell_Ehull_eV_atom,Max_Pair_Ehull_eV_atom,Thermodynamically_Stable
Ba2ZnS3,Ba2TeP2O9,0.5135003781858283,0.48176214,0.5875563146482564,78.04016450074234,1.4163999999999994,2.222661685936353,3.4372,1.4163999999999994,1.446353174333333,-0.9422492841156482,5.984191399450697,4.7166486394751175,4.53925138527649,3.761086902126523,0.3996190183244618,Coherent Epitaxy (Ideal),0.003772774565649728,0.0,0.003772774565649728,True
Ba3MoN4,Ba3GaS4Cl,0.5472591255142655,0.5013192,0.6544522557107494,69.4539891818512,1.7573,2.055724189241784,3.6078,1.7573,1.5333421353333334,-1.1088627095138777,5.875172632344949,4.756657482431492,4.523642051890609,4.898722083763973,0.394784852475452,Coherent Epitaxy (Ideal),0.025,0.0,0.025,True
Ba2ZnS3,Ba2Mn(BO2)6,0.536307242555562,0.49590924,0.630569249534419,72.84583673527388,1.9616,2.222661685936353,3.9824,1.9616,1.446353174333333,-1.0418702813300509,6.811999952210468,4.7166486394751175,4.493944738389183,4.721655525112806,0.3914783350408599,Coherent Epitaxy (Ideal),0.003772774565649728,0.035,0.035,True
Ba3WN4,Ba2TeP2O9,0.5007376410752793,0.48281166,0.5425649014414219,87.62390247170657,1.4721999999999995,2.168894062139744,3.4372,1.4721999999999995,1.4977095116666668,-1.7699839306260623,5.889069307116015,4.728892036002909,4.53925138527649,4.010255452706693,0.3832670213334839,Coherent Epitaxy (Ideal),0.025,0.0,0.025,True
Ba3MoN4,B5Pb2ClO9,0.5224765879741554,0.4927791,0.5917707227439499,79.91156368915222,1.6385,2.055724189241784,3.4890000000000003,1.6385,1.5333421353333334,-1.5063232293504898,6.186376375542222,4.756657482431492,4.534354973530231,4.673502553470065,0.3826089075007362,Coherent Epitaxy (Ideal),0.025,0.0,0.025,True
Ba2LiReN4,B5Pb2BrO9,0.5225088524106696,0.492417,0.5927231667053547,79.6298345801913,1.6151000000000004,1.9926160104785489,3.4053000000000004,1.6151000000000004,1.4600078583333334,-1.54131951759191,6.38835137991135,4.773444910098714,4.542338744187374,4.841496450967965,0.3783711136175012,Coherent Epitaxy (Ideal),0.0,0.0,0.0,True
Ba2LiReO6,Ba3NaTaO6,0.5109886773897898,0.48365593,0.5747650889799634,81.1624020620617,1.5845999999999996,2.049963910215981,3.4044,1.5845999999999996,1.311190571910043,-0.3363794342996349,5.895535702629664,4.758148903941113,4.542426663622875,4.533742946538698,0.3776991209876079,Coherent Epitaxy (Ideal),0.0,0.0,0.0,True
Al2BiSe4,Ba3Ge2(B3O8)2,0.491808258738156,0.47996435,0.519444026039825,91.77445560269996,1.9355,2.4450266823483884,4.1759,1.9355,1.517128058333333,-2.019924101064814,6.050979777851442,4.671507826744165,4.480642671718235,4.085729107275286,0.3745431370490321,Coherent Epitaxy (Ideal),0.0,0.035,0.035,True
Ba3WN4,Ba2Mn(BO2)6,0.5182448015847978,0.49846408,0.5643998537590691,86.77221107873332,2.0174,2.168894062139744,3.9824,2.0174,1.4977095116666668,-1.8696049278404647,6.69997442757852,4.728892036002909,4.493944738389183,4.968337103595951,0.3721232985170557,Coherent Epitaxy (Ideal),0.025,0.035,0.035,True
Ba2SiSe4,AlH2PbO2F3,0.4938326149945874,0.47926605,0.5278212725339398,89.86883687844073,2.218300000000001,2.495798660140437,4.496700000000001,2.218300000000001,1.6368552784766504,-0.8262126190972243,6.552922870538407,4.662285468602206,4.461056845128027,4.316094002165607,0.3703531550706432,Coherent Epitaxy (Ideal),0.0,0.0,0.0,True
