Formula,MP_ID,Eg_bulk_eV,CBM_bulk_eV,VBM_bulk_eV,Formation_Energy_eV,Dielectric_Static,Dielectric_Source,Eg_nano_3nm_eV
Al(PO3)3,mp-1019377,5.8176,5.4521,-0.3655,-2.8411529897252756,7.6481,Penn_Model_Calculated,5.966644232123766
Al(SeCl)4,mp-683984,1.1038000000000001,0.6723,-0.4315,-1.0319158957638968,150.0,Penn_Model_Calculated,1.3592169977268191
Al(SeCl2)2,mp-574529,1.3809,0.077,-1.3039,-1.321299250669642,118.9935,Penn_Model_Calculated,1.6348278072593612
Al(TeCl2)2,mp-540628,1.3285,1.0912,-0.2373,-1.359382804583333,128.4851,Penn_Model_Calculated,1.5829600079347874
Al11TlO17,mp-758571,4.585100000000001,8.8688,4.2837,-3.308075045114943,11.7025,Penn_Model_Calculated,4.772977718750405
Al11TlO17,mp-2206289,5.323600000000001,9.601,4.2774,-3.2150562399568954,8.9391,Penn_Model_Calculated,5.4888321461125935
Al2(CN2)3,mp-1029975,2.8366,5.9959,3.1593,-0.6093145309090912,28.9632,Penn_Model_Calculated,3.0681338464062895
Al2(MoO4)3,mp-19521,3.5374,3.0804,-0.457,-2.403986258676472,18.981,Penn_Model_Calculated,3.7533680038289248
Al2(SO4)3,mp-4417,6.0433,7.1104,1.0671,-2.3349570783823537,7.1608,Penn_Model_Calculated,6.184716537303271
Al2(SeO4)3,mp-756970,3.0578000000000003,3.2791,0.2213,-1.7608418939430153,25.0638,Penn_Model_Calculated,3.2847289875079397
Al2Ag2Bi2S3Cl8,mp-1194539,1.901,3.2374,1.3364,-1.3475917774019601,63.2613,Penn_Model_Calculated,2.148580977707046
Al2B3HO8,mp-1199198,6.1951,4.9798,-1.2153,-2.916216542232143,6.8625,Penn_Model_Calculated,6.331312728264191
Al2BiS4,mp-557737,2.6386,5.2985,2.6599,-1.0268268494642854,13.505916713333333,MP_DFPT_API,2.8362592167974214
Al2BiSe4,mp-571623,2.2404,4.312,2.0716,-0.872662828750001,15.171280583333333,MP_DFPT_API,2.4450266823483884
Al2Cd3(GeO4)3,mp-1214967,2.9874,5.2508,2.2634,-2.2718875258750004,26.2113,Penn_Model_Calculated,3.215826357812425
Al2CdBr8,mp-1214910,3.6647999999999996,2.5054,-1.1594,-1.4495020240909093,17.7526,Penn_Model_Calculated,3.8776428546712483
Al2CdCl8,mp-28361,3.7081999999999997,2.2123,-1.4959,-1.8501213690909089,17.3627,Penn_Model_Calculated,3.9199584634190403
Al2CdS4,mp-5928,2.7303000000000006,4.6115,1.8812,-1.1472330416071432,8.232516483334537,MP_DFPT_API,2.8873012125417823
Al2CdSe4,mp-3159,2.0058,3.4614,1.4556,-1.0754883984821428,9.313653563331576,MP_DFPT_API,2.174888812361587
Al2CdTe4,mp-7909,1.6261,4.6627,3.0366,-0.5821135314285755,10.718463236669713,MP_DFPT_API,1.8072524111819264
Al2CuCl8,mp-23434,0.5594,-0.5174,-1.0768,-1.6874217595454548,150.0,Penn_Model_Calculated,0.814816997726819
Al2Ga2Bi2O9,mp-1214864,2.7318,6.1986,3.4668,-2.4684174016666676,31.1498,Penn_Model_Calculated,2.9654115306072146
Al2Ge(O2F)2,mp-561437,4.0818,7.083,3.0012,-3.171815519166666,14.5045,Penn_Model_Calculated,4.283829096310732
Al2H12(SeO5)3,mp-707424,4.7445,4.0811,-0.6634,-1.6108465986572273,10.9954,Penn_Model_Calculated,4.927666826687497
Al2H16S3O20,mp-850293,5.6055,5.0993,-0.5062,-1.7330980639024391,8.1607,Penn_Model_Calculated,5.76158483146456
Al2H32S3O28,mp-1196041,4.6645,3.6228,-1.0417,-1.5678861953461531,11.3412,Penn_Model_Calculated,4.850044033389436
Al2Hg3Cl8,mp-27346,2.4917,1.2811,-1.2106,-1.5163545836538488,37.2402,Penn_Model_Calculated,2.7298123392507723
Al2HgS4,mp-7906,2.0163,4.0578,2.0415,-1.1063106832142928,10.617375053333335,MP_DFPT_API,2.1966909238029113
Al2HgSe4,mp-3038,1.4322000000000001,3.0308,1.5986,-0.825231304821429,12.08869747999479,MP_DFPT_API,1.622417974256357
Al2HgTe4,mp-7910,1.1122,4.301,3.1888,-0.47700404821428527,13.5947930866496,MP_DFPT_API,1.3102741724210096
Al2NiO4,mp-37614,3.1956000000000007,9.1926,5.997,-2.8027414935714297,23.0332,Penn_Model_Calculated,3.4195136551639473
Al2O3,mp-1143,5.8743,11.6968,5.8225,-3.4265510080000006,9.706237702841708,MP_DFPT_API,6.047111647007425
